open,high,low,close,volume,marketCap,timestamp
0.19483942,0.1979577,0.18628712,0.1979577,22605363.96,503803576.94,2021-07-25T23:59:59.999Z
0.19798662,0.24170892,0.19621224,0.20954829,67749742.64,533301722.59,2021-07-26T23:59:59.999Z
0.20942765,0.23499827,0.2004989,0.22378096,46071628.67,569523944.59,2021-07-27T23:59:59.999Z
0.22452392,0.2291176,0.21583524,0.2268097,38956974.59,577232111.56,2021-07-28T23:59:59.999Z
0.22740201,0.25510867,0.22335723,0.24923428,68732082.65,634302815.94,2021-07-29T23:59:59.999Z
0.24970254,0.25715888,0.22909542,0.2536637,46484127.27,645575704.6,2021-07-30T23:59:59.999Z
0.25341032,0.26016165,0.24456667,0.25575839,38365441.51,650906702.77,2021-07-31T23:59:59.999Z
0.25553135,0.2670333,0.24254243,0.24637439,48995257.26,627024376.41,2021-08-01T23:59:59.999Z
0.24568965,0.25475545,0.23846702,0.25091837,37332531.66,638588830.07,2021-08-02T23:59:59.999Z
0.25093138,0.25773177,0.23378985,0.23758779,27421957.49,604662415.73,2021-08-03T23:59:59.999Z
0.23841425,0.25141341,0.23005114,0.24494481,32686294.79,623386088.76,2021-08-04T23:59:59.999Z
0.24557281,0.26004528,0.23242184,0.26004528,37869539.87,661816867.67,2021-08-05T23:59:59.999Z
0.2600168,0.28726061,0.25919312,0.27930305,64435858.47,710828011.01,2021-08-06T23:59:59.999Z
0.2794598,0.29644829,0.26861814,0.28465136,52863677.6,724439485.75,2021-08-07T23:59:59.999Z
0.28624345,0.29972139,0.2607482,0.2671708,57692595.15,679951372.13,2021-08-08T23:59:59.999Z
0.26701342,0.28981217,0.25728396,0.27929293,46820909.6,710802254.91,2021-08-09T23:59:59.999Z
0.27883472,0.30377474,0.27405635,0.2970988,53854448.65,756118311.36,2021-08-10T23:59:59.999Z
0.29694923,0.3398038,0.29527427,0.32104818,72726184.16,817069623.28,2021-08-11T23:59:59.999Z
0.32093487,0.33971323,0.29084625,0.30729768,61263933.89,782074520.85,2021-08-12T23:59:59.999Z
0.30799511,0.35124557,0.30434808,0.3442878,64104386.59,876214599.72,2021-08-13T23:59:59.999Z
0.34430866,0.3548634,0.32726574,0.33773543,51307047.71,859538785.73,2021-08-14T23:59:59.999Z
0.33822426,0.35019076,0.321372,0.34725095,46503685.04,883755834.62,2021-08-15T23:59:59.999Z
0.34732616,0.42601114,0.34732616,0.39697422,175445393.82,1010301887.18,2021-08-16T23:59:59.999Z
0.39514744,0.46476152,0.37712347,0.39210616,186259128.93,997912631.29,2021-08-17T23:59:59.999Z
0.39131238,0.45074637,0.37026713,0.4156851,180369914.17,1057921198.47,2021-08-18T23:59:59.999Z
0.41461314,0.50555001,0.41439111,0.50555001,269267571.09,1286627950.27,2021-08-19T23:59:59.999Z
0.50651151,0.53835819,0.48482558,0.49297389,166073502.94,1254621640.84,2021-08-20T23:59:59.999Z
0.49259937,0.57756377,0.47634531,0.57127423,203280600.02,1453896502.14,2021-08-21T23:59:59.999Z
0.57358413,0.59579365,0.52836041,0.55629499,143877479.28,1415774232.44,2021-08-22T23:59:59.999Z
0.55589394,0.58915166,0.53362132,0.55140453,114684481.33,1403327985.61,2021-08-23T23:59:59.999Z
0.55173194,0.5582176,0.47211918,0.48138201,124847948.0,1225120232.08,2021-08-24T23:59:59.999Z
0.48214904,0.52005011,0.46500586,0.49634638,108636230.18,1263204658.84,2021-08-25T23:59:59.999Z
0.49796839,0.51654543,0.4332147,0.43457951,120280857.37,1106007572.14,2021-08-26T23:59:59.999Z
0.43370309,0.49510683,0.4193401,0.49230415,112155847.04,1252917157.09,2021-08-27T23:59:59.999Z
0.49236427,0.53307025,0.46907333,0.5226168,107621333.78,1330063032.5,2021-08-28T23:59:59.999Z
0.52292941,0.58711667,0.49692672,0.58568993,139775673.55,1490584533.93,2021-08-29T23:59:59.999Z
0.58580661,0.89770036,0.58580661,0.78947624,1346634322.96,2009221976.84,2021-08-30T23:59:59.999Z
0.8013922,0.88106858,0.68765465,0.71965942,569466960.3,1831537748.0,2021-08-31T23:59:59.999Z
0.71611528,0.9631836,0.69770624,0.86943867,771173778.51,2212726857.83,2021-09-01T23:59:59.999Z
0.87111712,0.92975194,0.81505887,0.85246454,485118681.99,2169527609.16,2021-09-02T23:59:59.999Z
0.84686318,0.9809616,0.81657158,0.97872548,573350817.72,2490862473.76,2021-09-03T23:59:59.999Z
0.97961483,1.1887126,0.97160318,1.06419713,890296064.27,2708388367.9,2021-09-04T23:59:59.999Z
1.06123684,1.27393428,1.01392746,1.21238413,809253667.17,3085525203.98,2021-09-05T23:59:59.999Z
1.21582893,1.47441427,1.18612171,1.39518757,1082613897.94,3550761118.14,2021-09-06T23:59:59.999Z
1.39166504,1.82985117,1.16746039,1.39400479,2493377807.2,3547750926.23,2021-09-07T23:59:59.999Z
1.39911348,1.67413182,1.26790001,1.56918945,1828115764.91,3993596982.61,2021-09-08T23:59:59.999Z
1.64470013,1.9292109,1.45866262,1.6607855,1741451766.1,4226709524.14,2021-09-09T23:59:59.999Z
1.65875632,1.7655669,1.42412403,1.49290664,853288393.33,3799456758.93,2021-09-10T23:59:59.999Z
1.49420453,1.69095444,1.44801397,1.54525035,722577095.63,3932671835.75,2021-09-11T23:59:59.999Z
1.54940534,1.55499503,1.39021056,1.44309584,459947595.28,3672687954.4,2021-09-12T23:59:59.999Z
1.44318382,1.45150421,1.224326493,1.3030008251,554719475.36,3316145273.51,2021-09-13T23:59:59.999Z
1.3062330404,1.3249329544,1.1403253201,1.2021804266,552951037.77,3059556727.1,2021-09-14T23:59:59.999Z
1.2043782899,1.5198121167,1.1937101512,1.4385045385,935321303.98,3661003074.24,2021-09-15T23:59:59.999Z
1.4418755996,1.4720463432,1.2694930258,1.3085826181,549016351.27,3330350971.75,2021-09-16T23:59:59.999Z
1.3075344533,1.3972471695,1.2406038908,1.2458420571,372200470.64,3170675850.58,2021-09-17T23:59:59.999Z
1.2464741583,1.429770827,1.2295968137,1.3375065932,422916246.0,3403962669.85,2021-09-18T23:59:59.999Z
1.3309765079,1.4879243712,1.2854053034,1.4556713764,553620089.6,3704692784.36,2021-09-19T23:59:59.999Z
1.4575435522,1.4810720359,1.0645268721,1.1389683491,798154363.36,2898681593.3,2021-09-20T23:59:59.999Z
1.1482273162,1.2211248294,0.9507393792,0.9827917339,582478408.1,2501211127.89,2021-09-21T23:59:59.999Z
0.9836633756,1.2639839957,0.9722789553,1.2479547156,648720993.68,3176052579.55,2021-09-22T23:59:59.999Z
1.2503569282,1.2900064758,1.1674151839,1.263396238,495275732.38,3215351350.99,2021-09-23T23:59:59.999Z
1.2630482149,1.2699466086,1.0528171441,1.198700582,577487238.69,3050700500.68,2021-09-24T23:59:59.999Z
1.1991846024,1.3735006145,1.1852658807,1.2390689942,615713520.14,3153438362.89,2021-09-25T23:59:59.999Z
1.2435596135,1.2579275124,1.0966762211,1.1779201382,458202319.46,2997814140.71,2021-09-26T23:59:59.999Z
1.1809759477,1.3557352347,1.1568143792,1.2825598216,612517577.56,3264122791.57,2021-09-27T23:59:59.999Z
1.280282767,1.3801304692,1.1662501403,1.1728418756,590476265.81,2984889930.54,2021-09-28T23:59:59.999Z
1.1755529257,1.2835946746,1.1570953775,1.2048484051,399546152.72,3066346749.05,2021-09-29T23:59:59.999Z
1.2015206965,1.266798518,1.1863414064,1.2054103142,290221915.27,3067776811.26,2021-09-30T23:59:59.999Z
1.2063864552,1.4384961946,1.1993849374,1.4183600943,508335883.04,3609735337.49,2021-10-01T23:59:59.999Z
1.4168623242,1.5238652254,1.3638382236,1.4597482519,396982293.03,3715068458.15,2021-10-02T23:59:59.999Z
1.4589434358,1.544890243,1.4092692893,1.4693755107,386944373.01,3739569892.23,2021-10-03T23:59:59.999Z
1.4669163674,1.4669163674,1.3534183968,1.3937189656,365209009.11,3547023510.29,2021-10-04T23:59:59.999Z
1.3969599994,1.452768689,1.3705036127,1.412857013,254711295.99,3595729960.98,2021-10-05T23:59:59.999Z
1.4134168469,1.6189902762,1.2938821845,1.6070256597,594214123.37,4089890384.76,2021-10-06T23:59:59.999Z
1.6082869649,2.0827186079,1.5762087075,2.0179958382,2138466015.11,5135812067.04,2021-10-07T23:59:59.999Z
2.0234422397,2.4475141563,1.9523185337,2.3055602076,3046984914.21,5867665191.24,2021-10-08T23:59:59.999Z
2.2948397536,2.3276485443,2.1191908235,2.1579780821,966869117.87,5492067755.92,2021-10-09T23:59:59.999Z
2.160615942,2.2595472222,2.0185681175,2.0344994077,679695512.87,5177813754.94,2021-10-10T23:59:59.999Z
2.0281061721,2.3657259897,1.9809470315,2.337056984,1043305348.4,5947824684.57,2021-10-11T23:59:59.999Z
2.3383199016,2.3473018126,2.0449791727,2.0936699302,754734002.93,5328403105.92,2021-10-12T23:59:59.999Z
2.0928823983,2.1459351492,1.971377832,2.0136654566,551382619.04,5124791218.82,2021-10-13T23:59:59.999Z
2.0126057303,2.1613419773,1.9991417452,2.0252748429,435404962.12,5154337179.7,2021-10-14T23:59:59.999Z
2.0281108932,2.0640957525,1.908233719,1.9272495049,471094401.84,4904862079.73,2021-10-15T23:59:59.999Z
1.9285604288,2.1572255777,1.9123340727,2.1431421213,490609378.84,5454310142.66,2021-10-16T23:59:59.999Z
2.1387032304,2.3380839394,2.0738513841,2.2979359747,944238247.7,5848261470.6,2021-10-17T23:59:59.999Z
